"","Date","Stage","Emb_ID","Treatment","Dose","Cntl","Expt","Ratio","Norm_Cntl","Norm_Expt"
"1","20241216","9ss","20241216_ETV4;1,0mM_Emb6_9ss","ETV4","1,0mM",306.211,57.074,0.186387817550643,1.24425537932172,0.231914044627423
"2","20241216","8ss","20241216_ETV4;1,0mM_Emb1_8ss","ETV4","1,0mM",224.877,123.158,0.547668280882438,0.913763440685445,0.500439252693419
"3","20241216","9ss","20241216_ETV4;1,0mM_Emb4_9ss","ETV4","1,0mM",270.483,135.32,0.500290221566605,1.09907850392402,0.54985822824724
"4","20241216","9ss","20241216_ETV4;1,0mM_Emb7_9ss","ETV4","1,0mM",176.413,87.232,0.494476030678011,0.716835202629177,0.354457825646343
"5","20241216","9ss","20241216_ETV4;1,0mM_Emb9_9ss","ETV4","1,0mM",252.515,118.43,0.469001841474764,1.02606747343964,0.481227534520548
"6","20250119","10ss","20250119_ETV4;1,0mM_Emb1_10ss","ETV4","1,0mM",83.004,66.505,0.801226446918221,0.424403562772909,0.340043358659972
"7","20250119","9ss","20250119_ETV4;1,0mM_Emb10_9ss","ETV4","1,0mM",72.467,57.533,0.793919991168394,0.370527359928008,0.294169078321693
"8","20250119","10ss","20250119_ETV4;1,0mM_Emb5_10ss","ETV4","1,0mM",243.522,108.671,0.446247156314419,1.24514004642649,0.555640204931025
"9","20250119","10ss","20250119_ETV4;1,0mM_Emb6_10ss","ETV4","1,0mM",381.262,168.631,0.442296898195991,1.94941148799967,0.862218654449887
"10","20250119","9ss","20250119_ETV4;1,0mM_Emb7_9ss","ETV4","1,0mM",197.635,129.616,0.655835251853164,1.01051754287292,0.662733027232102
"11","20250124","9ss","20250124_ETV4;1,0mM_Emb10_9ss","ETV4","1,0mM",254.38,127.697,0.501993081217077,0.768505706845193,0.385784547712126
"12","20250124","9ss","20250124_ETV4;1,0mM_Emb11_9ss","ETV4","1,0mM",376.117,145.004,0.385528971038267,1.13628453864885,0.438070608991982
"13","20250124","9ss","20250124_ETV4;1,0mM_Emb4_9ss","ETV4","1,0mM",362.521,226.508,0.62481345908237,1.09520975450596,0.684301795133623
